datetm,open,high,low,close,volume,amount
2020-06-18T13:44:00+0530,1641.1,1642.9,1641,1642.9,23907,0
2020-06-18T13:45:00+0530,1642.8,1644.5,1642.1,1643.45,59062,0
2020-06-18T13:46:00+0530,1643.45,1643.95,1642.95,1643.6,17731,0
2020-06-18T13:47:00+0530,1643.65,1643.85,1642.8,1643.3,19073,0
2020-06-18T13:48:00+0530,1643.25,1643.3,1641.85,1642.5,29936,0
2020-06-18T13:49:00+0530,1642.45,1642.65,1641.5,1641.55,22765,0
2020-06-18T13:50:00+0530,1641.55,1641.75,1638,1639.05,93861,0
2020-06-18T13:51:00+0530,1639.05,1640.5,1639.05,1640,31412,0
2020-06-18T13:52:00+0530,1639.9,1641.5,1639.9,1641.4,27913,0
2020-06-18T13:53:00+0530,1641.5,1642.4,1641.05,1641.65,27329,0
2020-06-18T13:54:00+0530,1641.5,1644,1641.4,1643.55,48293,0
2020-06-18T13:55:00+0530,1643.7,1643.85,1640.2,1641,44481,0
2020-06-18T13:56:00+0530,1640.75,1641.6,1640.05,1641,24917,0
2020-06-18T13:57:00+0530,1641.1,1641.55,1640.3,1641,16380,0
2020-06-18T13:58:00+0530,1640.95,1641.15,1640.4,1640.45,18757,0
2020-06-18T13:59:00+0530,1640.4,1641.45,1640.1,1641,22417,0
2020-06-18T14:00:00+0530,1640.95,1641,1640.1,1640.65,22890,0
2020-06-18T14:01:00+0530,1640.75,1641,1639.5,1640,70498,0
2020-06-18T14:02:00+0530,1639.65,1641.8,1639.5,1641.7,45889,0
2020-06-18T14:03:00+0530,1641.7,1643,1640.55,1643,37273,0
2020-06-18T14:04:00+0530,1642.85,1643.7,1642.65,1643.4,30988,0
2020-06-18T14:05:00+0530,1643,1645,1643,1645,62316,0
2020-06-18T14:06:00+0530,1644.95,1647.65,1644.95,1646.35,213615,0
2020-06-18T14:07:00+0530,1646.05,1646.5,1644.45,1646.1,66123,0
