Datetime,1min,2min,5min,1min%,2min%,5min%,Trend
2020-06-26 13:32:00+05:30,-0.548360385,-0.23641218,,91.90825622,-203.2016972,0,0
2020-06-26 13:33:00+05:30,-0.954994689,,,74.1545733,0,0,0
2020-06-26 13:34:00+05:30,-1.329484246,-1.066149421,,39.21378427,350.9705972,0,0
2020-06-26 13:35:00+05:30,-1.996207308,,-2.07838044,50.14900062,0,50.19012207,0
2020-06-26 13:36:00+05:30,-1.90038536,-1.255015755,,-4.800200271,17.71480909,0,0
2020-06-26 13:37:00+05:30,-1.493232679,,,-21.42474307,0,0,0
2020-06-26 13:38:00+05:30,-1.320508096,-1.431486783,,-11.567158,14.06125999,0,0
2020-06-26 13:39:00+05:30,-1.278427123,,,-3.186725851,0,0,0
2020-06-26 13:40:00+05:30,-1.298377895,-1.777532673,-2.593503661,1.560571721,24.17387945,24.7848378,0
2020-06-26 13:41:00+05:30,-1.445739458,,,11.34966661,0,0,0
2020-06-26 13:42:00+05:30,-1.240742984,-1.685963744,,-14.17935106,-5.15146246,0,0
2020-06-26 13:43:00+05:30,-0.784523072,,,-36.76989657,0,0,0
2020-06-26 13:44:00+05:30,-0.435476013,-1.378499766,,-44.49162447,-18.23668982,0,0
2020-06-26 13:45:00+05:30,-0.094326711,,-2.390169893,-78.33940149,0,-7.840118795,0
2020-06-26 13:46:00+05:30,0.217822044,-0.798721332,,-330.9229715,-42.05865302,0,0
2020-06-26 13:47:00+05:30,0.826785854,,,279.569414,0,0,0
2020-06-26 13:48:00+05:30,0.930658353,-0.427831121,,12.56341026,-46.43549584,0,0
2020-06-26 13:49:00+05:30,0.991180797,,,6.503186028,0,0,0
2020-06-26 13:50:00+05:30,0.891465151,-0.276534995,-2.301413526,-10.06028835,-35.36351573,-3.71339154,0
2020-06-26 13:51:00+05:30,0.751946701,,,-15.65046596,0,0,0
2020-06-26 13:52:00+05:30,0.707952369,-0.136160008,,-5.850724813,-50.76210611,0,0
2020-06-26 13:53:00+05:30,0.60326983,,,-14.78666402,0,0,0
2020-06-26 13:54:00+05:30,0.391271445,-0.142100183,,-35.14155274,4.36264295,0,0
2020-06-26 13:55:00+05:30,0.326447608,,-2.674443526,-16.56748468,0,16.20873414,0
2020-06-26 13:56:00+05:30,-0.208262265,-0.706576986,,-163.7965357,397.238619,0,0
2020-06-26 13:57:00+05:30,-0.788811615,,,278.7587807,0,0,0
2020-06-26 13:58:00+05:30,-0.855319733,-0.923037901,,8.431432432,30.63514942,0,0
2020-06-26 13:59:00+05:30,-0.887762108,,,3.79301132,0,0,0
2020-06-26 14:00:00+05:30,-1.246125812,-1.364214467,-3.140868665,40.36708726,47.79614856,17.44008181,0
2020-06-26 14:01:00+05:30,-1.276603192,,,2.445770654,0,0,0
2020-06-26 14:02:00+05:30,-1.061960748,-1.3743609,,-16.81356,0.743756377,0,0
2020-06-26 14:03:00+05:30,-0.897157311,,,-15.51878799,0,0,0
2020-06-26 14:04:00+05:30,-0.645742019,-1.125040629,,-28.02354605,-18.14081517,0,0
2020-06-26 14:05:00+05:30,-0.204967295,,-2.958393556,-68.25864056,0,-5.80970197,0
2020-06-26 14:06:00+05:30,0.312709975,-0.680520318,,-252.5657907,-39.51148957,0,0
2020-06-26 14:07:00+05:30,0.429541462,,,37.36097255,0,0,0
2020-06-26 14:08:00+05:30,0.645405986,-0.484805559,,50.25464174,-28.75957614,0,0
2020-06-26 14:09:00+05:30,0.422350383,,,-34.56051043,0,0,0
2020-06-26 14:10:00+05:30,-0.502232528,-1.25350826,-3.546268227,-218.9137144,158.55897,19.87141534,0
2020-06-26 14:11:00+05:30,-0.99684933,,,98.48362561,0,0,0
2020-06-26 14:12:00+05:30,-1.098044559,-1.393336046,,10.15150692,11.15491542,0,0
2020-06-26 14:13:00+05:30,-0.87464385,,,-20.34532269,0,0,0
2020-06-26 14:14:00+05:30,-0.556427619,-1.066269299,,-36.38237792,-23.47364432,0,0
2020-06-26 14:15:00+05:30,-0.07932427,,-3.517433619,-85.74400917,0,-0.813097213,0
2020-06-26 14:16:00+05:30,0.364046667,-0.807488065,,-558.9347823,-24.26978197,0,0
2020-06-26 14:17:00+05:30,0.149553238,,,-58.91921258,0,0,0
2020-06-26 14:18:00+05:30,-0.176003225,-0.869670925,,-217.686001,7.700777692,0,0
2020-06-26 14:19:00+05:30,-0.011254347,,,-93.60560193,0,0,0
2020-06-26 14:20:00+05:30,0.449006779,-0.154566605,-2.722218864,-4089.629845,-82.22700097,-22.60781129,2.4
2020-06-26 14:21:00+05:30,1.107628828,,,146.6842108,0,0,0
2020-06-26 14:22:00+05:30,1.633358156,0.547913537,,47.46439547,-454.4837754,0,0
2020-06-26 14:23:00+05:30,1.66798633,,,2.120060042,0,0,0
2020-06-26 14:24:00+05:30,1.883771764,1.073580903,,12.93688269,95.93983907,0,0
2020-06-26 14:25:00+05:30,1.801828219,,-1.939068338,-4.349972043,0,-28.76883035,0
2020-06-26 14:26:00+05:30,1.539844569,1.316427885,,-14.53987941,22.62027765,0,0
2020-06-26 14:27:00+05:30,1.564527017,,,1.602918119,0,0,0
2020-06-26 14:28:00+05:30,1.540664629,1.658243494,,-1.525214152,25.96538812,0,0
2020-06-26 14:29:00+05:30,1.563886779,,,1.507281284,0,0,0
2020-06-26 14:30:00+05:30,1.749046823,2.223868495,-1.148421643,11.83973464,34.10988812,-40.77456574,0
2020-06-26 14:31:00+05:30,1.961386796,,,12.14032521,0,0,0
2020-06-26 14:32:00+05:30,1.546557022,2.001605949,,-21.14981983,-9.994410479,0,0
2020-06-26 14:33:00+05:30,0.900440292,,,-41.77775026,0,0,0
2020-06-26 14:34:00+05:30,0.33262859,1.319722565,,-63.05933962,-34.06681441,0,0
2020-06-26 14:35:00+05:30,-0.479374739,,-2.384931659,-244.1171183,0,107.6703859,0
2020-06-26 14:36:00+05:30,-2.026186607,-0.308330928,,322.6727948,-123.3633141,0,0
2020-06-26 14:37:00+05:30,-2.677886197,,,32.16384851,0,0,0
2020-06-26 14:38:00+05:30,-3.261157633,-1.859445887,,21.78103896,503.0682364,0,0
2020-06-26 14:39:00+05:30,-4.181536435,,,28.22245672,0,0,0
2020-06-26 14:40:00+05:30,-4.00779393,-2.389721675,-3.267808473,-4.154992011,28.51794675,37.01895655,0
2020-06-26 14:41:00+05:30,-3.330131025,,,-16.90862646,0,0,0
2020-06-26 14:42:00+05:30,-3.114412293,-2.768620056,,-6.477785136,15.85533519,0,0
2020-06-26 14:43:00+05:30,-2.688281631,,,-13.68253853,0,0,0
2020-06-26 14:44:00+05:30,-1.843346281,-2.460083522,,-31.43031372,-11.14405474,0,0
2020-06-26 14:45:00+05:30,-1.315263073,,-3.410074221,-28.64807406,0,4.353552204,0
2020-06-26 14:46:00+05:30,-0.863681267,-2.157225972,,-34.33395307,-12.31086452,0,0
2020-06-26 14:47:00+05:30,-0.459417035,,,-46.80710902,0,0,0
2020-06-26 14:48:00+05:30,0.249232398,-1.580112511,,-154.2497077,-26.75257339,0,0
2020-06-26 14:49:00+05:30,0.412144534,,,65.36555307,0,0,0
